today,latitude,longitude,ip,type,tpm,tpm_type,informants
7/10/15,3.798045,42.548167,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/10/15,2.336921,42.285713,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/10/15,2.738507,40.795093,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/10/15,2.788739,41.040143,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/10/15,3.785384,42.578943,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,2.8837,41.947266,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,4.73566,45.203465,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,2.146123,45.118189,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,3.798889,42.54705,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,3.800076,42.5477,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,2.842827,42.061523,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,2.141909,45.099953,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,3.800903,42.543806,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,2.656086,44.925247,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,3.798204,42.546021,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,4.735666,45.204472,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,4.738064,45.208237,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,4.212706,45.475891,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,4.736632,45.205399,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,5.30318,45.888885,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,1.783434,44.31958,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,4.719781,45.221191,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,2.146225,45.119843,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,3.800757,42.543274,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,4.735623,45.205502,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,2.338043,42.291962,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,2.619466,44.893839,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,2.896044,41.974731,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,2.654714,44.920784,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,3.799908,42.547614,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,1.854901,44.214844,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,3.789495,42.562463,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,3.799769,42.545929,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,4.928786,46.892578,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,3.798912,42.544304,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,3.799894,42.545039,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,3.800001,42.545125,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
7/13/15,2.140942,45.084469,unicef,cash,UNICEF Cash Transfer,cc,beneficiaries
