date,longitude,latitude,ip,type,category,tpm_type,informants
7/15/15,46.843689,5.024417,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/15/15,41.016266,2.787447,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/15/15,42.545288,3.800785,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/16/15,42.546021,3.798204,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/16/15,44.929321,2.648338,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/16/15,45.113265,2.142411,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/16/15,44.893882,2.619291,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/16/15,41.007202,2.770724,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/16/15,45.117977,2.145812,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/16/15,40.998842,2.787836,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/16/15,41.009949,2.781698,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/16/15,42.544991,3.798547,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/16/15,41.969238,2.885072,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/16/15,44.894526,2.619591,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/16/15,45.497864,4.204489,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/16/15,45.204815,4.735815,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/16/15,45.487885,4.209716,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/16/15,41.031921,2.778954,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/16/15,45.221191,4.711934,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/16/15,45.206211,4.735232,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/16/15,45.202755,4.735238,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/16/15,45.120529,2.146053,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/16/15,42.544945,3.800068,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/16/15,41.985718,2.88818,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/16/15,45.205587,4.735366,UNICEF,,Cash Transfers,CC,Beneficiary Interview
7/16/15,42.544825,3.799776,UNICEF,,Cash Transfers,CC,Beneficiary Interview
